jobId,title,companyId,category,deadline,experience,education,requirements,preferences,salary,jobType,jobLocation,details,jobWebsite,hits,titleImageUrl,detailsImageUrl,bookmarks,createdAt,modifiedAt
10,종양내과 연구간호사 모집 (폐암팀),1,임상연구,2023-01-21 00:00:00,경력 무관,학력 무관, 간호사면허 소지자,"종양내과 CRC 경력, 상급종합병원 내과 경력","연봉 3,600 만원 (주 40시간)",계약직,서울 종로구,"◆ 모집부분 및 자격요건

모집부분 : 종양내과 연구간호사 폐암팀(고형암, 폐암, 비뇨기계암, 뇌종양, 두경부암, 림프종 등) 연구간호사

자격요건 : 간호사면허 소지자


◆ 근무조건

근무시간 : 평일 오전 9시부터 오후 5시까지 근무
(회의가 있는 날에는 8:30부터)

근무장소 : 서울대학교병원 의생명연구원 연구간호사실

업무내용 : Global clinical trials / 연구자주도 임상시험 등

급여 : 4대 보험은 적용되지 않습니다 (아래 금액은 실수령액 입니다. 8.8% 세후 금액)

- 기본급여 270만원 + 통신비 5만원 / 3개월 근속 후 30만원 급여 오름 / 매년 급여 상승
- 매월 업무 평가 후 인센티브 지급

◆ 제출서류

이력서 & 자기소개서, 임상시험 종사자 교육 이수증(해당자)

◆ 접수방법 및 기간

e-mail 접수 : promotion0502@snu.ac.kr

서류 접수 기간 : ~ 2023년 01월 12일까지

면접 기간 : 2023년 01월 16일 ~ 01월 20 사이

면접 후 합격자는 [임상시험 종사자 교육] 이수증을 제출하셔야 하며, (신규라면 총 40시간 중 20시간을 먼저 온라인으로 이수하셔야 하며), 02월 01일자로 출근이 가능해야 합니다. )

◆ 우대사항

종양내과 CRC 경력, 상급종합병원 내과 경력",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44694810&view_type=search,12.0,,,2.0,2023.02.04 16:00:00,
11,(주)SUN&L 안전관리자/ 보건관리자,11,보건관리자,2023-01-31 00:00:00,경력,"대졸 이상 (4년제, 학사)","경력 1년 ~ 8년 / 간호사, 산업위생관리기사, 대기환경관리기사, 인간공학기사 자격 중 1개 이상 소지","ㆍ유관업무 경력자 外 (상세내역 하단 참조)
ㆍ제조업체, 중견기업 안전(보건)관리 유경험자",,계약직 1년 (정규직 전환 가능),인천 중구 북성동1가 6-32,"㈜SUN&L
안전관리자/ 보건관리자
모집부문 및 상세내용
모집부문	상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (4년제, 학사)
ㆍ유관업무 경력자
ㆍ해외출장에 결격사유가 없을 것
ㆍ신체건강상 결격사유가 없을 것

안전관리자
(환경안전관리실, 0명)

&

보건관리자
(환경안전관리실, 0명)
담당업무
ㆍ안전관리자 : 현장안전점검 / 안전보건계획 수립 및 운영 / 위험성 평가 운영관리 / 대관업무 外
ㆍ보건관리자 : 전사 보건업무 기획 및 관리 / 보건관리자 / 사업장 순회 점검지도 外
지원자격 (필수)
ㆍ경력 
   - 안전관리자 : 경력 4년 ~ 8년 
   - 보건관리자 : 경력 1년 ~ 8년
ㆍ자격
   - 안전관리자 : 산업안전기사 자격 소지
   - 보건관리자 : 간호사, 산업위생관리기사, 대기환경관리기사, 인간공학기사 자격 중 1개 이상 소지

우대사항 및 기타
ㆍ유관업무 경력자 外 (상세내역 하단 참조)
   - 안전관리자 및 보건관리자 : 제조업체, 중견기업 안전(보건)관리 유경험자
ㆍ기타
   - 안전관리자 : 정규직 (수습 3개월)
   - 보건관리자 : 계약직 1년 (정규직 전환 가능)
근무조건
ㆍ근무형태:정규직(수습기간)-3개월
ㆍ근무일시:09:00~18:00
ㆍ근무지역:(400-201) 인천 중구 북성동1가 6-32 - 서울 1호선 인천 에서 1km 이내
전형절차
서류전형
 
1차면접
 
인성검사
 
최종 임원면접
 
채용검진
 
최종합격
접수기간 및 방법
ㆍ접수기간: ~ 채용완료시
ㆍ접수방법:사람인 입사지원
ㆍ이력서양식:사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",https://sunandl.applyin.co.kr/jobs/6023,8.0,,,0.0,2023.02.04 16:00:00,
12,보건관리자 신입 또는 경력,13,보건관리자,2023-01-31 00:00:00,경력 무관,2년제 전문학사 또는 4년제 졸업(이상),"[산업안전보건법시행령 발표4]에 해당되는 분
 - 산업보건지도사 자격을 가진 분
 - 의사/간호사
 - 산업위생관리산업기사 또는 대기환경산업기사 이상의 자격을 취득한 분
 - 인간공학기사 이상의 자격을 취득한 분
 - 전문대학 이상의 학교에서 산업보건 또는 산업위생 분야의 학위를 취득한 분", - 500인이상 사업장 보건관리 경험,,계약직,서울특별시 송파구 송파대로268 한솔섬유빌딩,"
 경력

1. 학력: 2년제 전문학사 또는 4년제 졸업(이상)

2. 전공: 간호학과 우대

3. 담당 업무: 사업장 내 보건관리 전반

- 산업안전보건법 제/개정 검토

- 법정 보건관리 업무

- 전염성 질환 예방대책 및 대응방안 수립

- 안전보건 사고 및 재해발생 대응방안 시나리오수립

- 보건교육 계획 수립 및 운영

- 관련 규정 및 지침수립 등

4. 자격 요건:

[산업안전보건법시행령 발표4]에 해당되는 분

 - 산업보건지도사 자격을 가진 분

 - 의사/간호사

 - 산업위생관리산업기사 또는 대기환경산업기사 이상의 자격을 취득한 분

 - 인간공학기사 이상의 자격을 취득한 분

 - 전문대학 이상의 학교에서 산업보건 또는 산업위생 분야의 학위를 취득한 분

6. 우대사항:

 - 500인이상 사업장 보건관리 경험

 

**지원부문: [본사]총무부(안전보건팀)-보건관리자

본사

(서울 송파구)

* 보훈대상자는 관련 법령에 의거하여 우대

 
ㆍ 졸업예정자의 경우, 학교에 출석하지 않아도 졸업에 지장이 없거나, 학칙으로 대체 학점인정이 가능한 분만 지원 가능

ㆍ 남자는 병역필 또는 면제이신 분

ㆍ 해외여행에 결격 사유가 없으신 분


ㆍ 기간: 채용 시 마감

ㆍ 방법: 한솔섬유 채용페이지에서 인터넷 접수 (단, 모바일 기기에서는 지원하실 수 없습니다.)

ㆍ 한솔섬유 채용페이지 바로가기 (← 클릭 시, 이동)



* 전형절차는 진행상황에 따라 변동될 수 있으며, 전형별 합격자에 한하여 별도 안내예정



ㆍ 근무시작일: 합격자에 한하여 개별안내

ㆍ 근무시간: 월~금/ 시차출퇴근제 운영(휴게시간 12:20~13:50)

ㆍ 근무장소: 서울특별시 송파구 송파대로268 한솔섬유빌딩

 


ㆍ 지원서에 허위사실 기재 시 채용이 취소될 수 있습니다.

ㆍ 시력·청력·촉각의 질환 및 질병, 부상 등의 사유로 주어진 업무수행이 곤란한 지원자의 경우 채용이 취소될 수 있습니다.

ㆍ 전형결과는 홈페이지에서 확인 가능하며, 합격자에 한하여 E-mail로 개별 통보합니다.

ㆍ 성적증명서/자격증 등 기타 증빙자료는 입사 시 제출합니다.

ㆍ 자세한 내용은 한솔섬유 채용사이트 채용정보메뉴의 공지사항 [전형관련 FAQ]를 참고하여 주시기 바랍니다.



ㆍ 한솔섬유 채용 담당
 전화: 02-3287-8175
 E-mail: recruit@hansoll.com",https://www.hansoll.com/recruit_new/careers_view.html?bos_no=8&bbs_no=3638&returnUrl=careers_info.html,13.0,,,0.0,2023.02.04 16:00:00,
13,보험심사팀 간호사 모집,14,보험심사,2023-01-31 00:00:00,경력 무관,학력 무관,,,,정규직,제주,"- 모집인원 : 0명

- 마감일 : 채용시까지

 

■ 채용 분류

    - 정규직 채용

 

■ 근무 부서 및 담당 업무

    - 보험심사팀 청구 및 관리 업무 



■ 근무시간

   - 월~토(주 6일)

      월 09:00~18:00 / 화~금 09:00~17:00 / 토 09:00~13:00



■ 급여

   - 회사내규에 따름



■ 채용 절차 

   - 서류전형 > 면접전형 > 최종합격
 

- 제출서류 : 응시원서(본원양식), 면허증사본

- 접수방법 : 이메일접수, 방문

 


담당자 : 중앙병원 인사총무팀 064-786-7890/7789
           (sjungang_hr@daum.net)",https://www.jeju-jungangh.com/kor/wpbbs/view.php?wpboard=recruit&bno=22&p=1&lcate=,8.0,,,0.0,2023.02.04 16:00:00,
14,2023년 상반기 대한체육회 신입직원 (전문기술직) 공개채용,15,공공기관,2023-01-10 00:00:00,경력,학력 무관,"① 간호사 면허증 소지자
② 임상경력 1년 이상 보유자(면허증 취득일 이후)",간호사 자격증,,정규직,서울시 송파구,"대한체육회(KSOC)*는“스포츠로 행복한 대한민국”을 실현할 유능한 인재를
공개채용합니다. 열정 가득한 분들의 많은 지원을 기대합니다.

전문 기술직 7급 : 간호사

지원자격
ㆍ아래 두 가지 조건(①, ②)을 모두 충족하는 자
  ① 간호사 면허증 소지자
  ② 임상경력 1년 이상 보유자(면허증 취득일 이후)

공통 지원자격
- 학력 및 연령 제한 없음
   * 단, 인사규정 상 공고일 현재 기준 정년(만60세) 이상자는 제외
   * 단, 서류접수 마감일(‘23. 1.10.) 기준 휴학, 수료, 재학, 졸업예정자는 지원 불가
- 서류접수 마감일(‘23. 1.10.) 기준 최종학력 졸업자
   * 서류접수 마감일 기준 졸업 증명이 불가능한 경우 임용이 취소될 수 있음
- 남성은 병역필 또는 면제자
   * 단, 임용예정일(’23. 2.22.) 이전 전역 예정자는 응시 가능
- 해외여행에 결격사유가 없는 자
- 대한체육회 인사규정 제19조의 임용 결격사유에 해당하지 않는 자
- 국가공무원법 제33조에 의한 채용결격사유에 해당하지 않는 자
- 채용 즉시 근무가 가능한 자
- 지방 근무가 가능한 자(강원 평창, 충북 진천 등) * 평창훈련센터 개촌(2023.2.) 예정",https://sports.saramin.co.kr/service/sports/2656/applicant/apply/recruit_default.asp,3.0,,,2.0,2023.02.04 16:00:00,
15,메디컬&헬스케어 분야 : 메디컬라이터 정규직 채용,16,메디컬라이터,2023-03-28 00:00:00,경력 무관,대졸 이상 (4년제),"ㆍ학력 : 대졸이상(약학, 간호학, 화학, 생명과학 등 전공자
ㆍ영어가능자","ㆍ제약회사 학술, 마케팅, 헬스케어 관련 경력자",,정규직,서울시 성동구,"아이 파트너스는 I’m your partners 의 의미로, 국내 헬스케어 분야에 특화된 Know-how 와 Global network 을 갖춘 헬스케어 전문 마케팅,커뮤니케이션 회사입니다.  

국내 헬스케어 분야에서 고객의 전략적인 파트너로서, 최고의 가치 창출을 추구하고 있는 회사로서, 직원들과의 신뢰를 바탕으로 즐겁게 일할 수 있는 회사를 만들기 위해 끊임없이 노력하고 있습니다.  

[담당업무]
ㆍ논문 리뷰 및 번역 : 의약학 논문 검색, 리뷰. 의약학 자료 번역
ㆍ메디칼라이팅 : 의료 관련 프로모션 컨텐츠 기획 및 개발
ㆍ의약품 학술/교육 : 의사용, 환자용 교육자료 기획 및 개발
ㆍ아카데믹 커뮤니케이션 : 제약사 관련부서 커뮤니케이션

[자격요건]
ㆍ학력 : 대졸이상(약학, 간호학, 화학, 생명과학 등 전공자
ㆍ경력 : 신입·경력
ㆍ영어가능자

[우대사항]
ㆍ제약회사 학술, 마케팅, 헬스케어 관련 경력자
ㆍ영어가능자",https://www.jobkorea.co.kr/Recruit/GI_Read/40684749?Oem_Code=C1&logpath=1&stext=%EB%A9%94%EB%94%94%EC%BB%AC%EB%9D%BC%EC%9D%B4%ED%84%B0&listno=2,76.0,,,0.0,2023.02.04 16:00:00,
16,계룡건설(판교G3-2) 보건관리자 채용공고(신입 및 경력),17,보건관리자,2023-01-31 00:00:00,경력 무관,학력 무관,"산업위생관리기사, 간호사",,"연봉 3,500만원 이상",기간의 정함이 있는 근로계약,"경기도 성남시 수정구 고등로 3, A-414호 (고등동)","[직무내용]
- 건축현장 보건관리

서류작성, 근로자 교육, MSDS 관리 등

[근무시간 및 형태]
주 5일 근무
(오전) 7시 30분~(오후) 6시 00분
주소정근로시간 : 40시간


[급여조건]
- 연봉 35000000원 이상
- 상여금 : 0% (미 포함)
- 면접 후 결정 가능


[자격면허]
- 산업위생관리기사
- 간호사


우대조건 : 운전면허증


[장애인채용희망여부]
비희망


[병역특례]
- 비희망

[기타 희망내용]
실업급여 수급을 위한 형식적 입사지원시, 실업급여 담당자에게 통보되오니 각별히 유의하시기 바랍니다.
당사자 간 합의할 경우 관련 법률에 의거 연장 근로할 수 있고, 위에 제시된 채용조건(수습기간/급여 등)은 회사사정에 따라 변경될 수 있으므로, 자세한 사항은 사업장으로 문의바랍니다. → 업체 인사담당자 연락처 : 아래 [채용담당자 정보보기] 부분을 클릭하시면 확인하실 수 있습니다.",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&newWindow=Y&wantedAuthNo=K170052212270045&naverRequestYn=&seekCustNo=&theWorkInfoKind=&theWorkChnl=&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0,22.0,,,0.0,2023.02.04 16:00:00,
17,"동원건설산업 본사/현장 정규직 안전관리자,보건관리자 모집",18,보건관리자,,경력 무관,학력 무관,"간호사, 산업위생기사 등 자격 보유",,,계약직,경기 안양시 동안구,"동원건설산업 본사/현장 정규직 안전/보건관리자 모집 ( ○명 )

[담당업무]

ㆍ안전,보건관리


[자격요건]

ㆍ학력 : 학력무관

ㆍ경력 : 경력무관

ㆍ자격 : 산업안전기사 또는 건설안전기사 자격 보유 필수
            보건관리자는 간호사, 산업위생기사 등 자격 보유


[우대사항]

ㆍ지방근무 가능자


[전형절차]

전형절차: 서류전형 > 1차면접 > 2차면접(정규직에 한함) > 최종합격
면접 일정은 추후 통보됩니다.
유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://job.incruit.com/jobdb_info/jobpost.asp?job=2210120007300&src=etc*search,75.0,,,0.0,2023.02.04 16:00:00,
18,암케어 전문 간호사 · Innovation,19,임상연구,2023-01-09 00:00:00,경력,대졸,"• 간호사 면허증을 소지하고 상급 종합병원 암병동 경력이 3년 이상이신 분
• 환자의 눈높이에 맞는 콘텐츠 제작 경험이 있으신 분
• 환자, 팀과의 의사소통 능력이 뛰어나신 분
• 팀웍에 강하고 배우기를 좋아하시는 분
• 변화에 빠르게 적응하고 능동적으로 변화를 추구하는 자세를 갖추신 분","• 암환자 간호, 특히 혈액종양내과 근무 경험이 있으신 분
• 보건학, 영양학 석사를 전공하신 분
• 헬스케어 서비스 관련 경험이 있으신 분",,정규직,서울,"주요업무
• 환자와 그 보호자에게 도움이 될 콘텐츠를 조사하고 환자를 위한 솔루션 개발에 기여
• 환자들과 그 보호자의 질문에 대해 최신 근거 기반의 의료 정보를 바탕으로 환자의 눈높이에 맞는 언어로 전달
• 전문의의 소견이 필요한 부분을 파악하여 의사진과 협의하고 확인된 정보를 환자에게 안내

자격요건
• 간호사 면허증을 소지하고 상급 종합병원 암병동 경력이 3년 이상이신 분
• 환자의 눈높이에 맞는 콘텐츠 제작 경험이 있으신 분
• 환자, 팀과의 의사소통 능력이 뛰어나신 분
• 팀웍에 강하고 배우기를 좋아하시는 분
• 변화에 빠르게 적응하고 능동적으로 변화를 추구하는 자세를 갖추신 분

우대사항
• 암환자 간호, 특히 혈액종양내과 근무 경험이 있으신 분
• 보건학, 영양학 석사를 전공하신 분
• 헬스케어 서비스 관련 경험이 있으신 분

혜택 및 복지
• 자율 출퇴근, 자율 원격근무, 자율 휴가제 운영
• 점심 및 저녁 식사비 지원
• 종합 건강검진 지원 (매년)
• 헬스케어 비용 지원 (연간 120만원)
• 임직원 단체상해보험 가입
• 국내외 세미나 및 각종 직무 교육 지원
• 자기계발 도서 구매 지원
• 부서 회식 및 워크샵 비용 지원
• 사내 소모임 활동 지원
• 명절 선물 및 임신축하선물 지급
• 경조 휴가 및 경조비 지원
• 개인 맞춤 업무 장비 지원
• 맛있는 커피와 간식 무료&무제한 제공

[제출서류]
• 자유양식의 CV (resume)

[전형 절차]
• Document Screening → Assignment → Competency-based Interview → Culture-fit Interview → Onboarding
• 과제 전형을 위해 과제비를 지급하고 있습니다.",https://www.wanted.co.kr/wd/134398,24.0,,,0.0,2023.02.04 16:00:00,
19,가가가가가가가가가가가가가,1,메디컬라이터,2021-01-12 00:00:00,경력 무관,"초대졸 이상 (2, 3년제)",requirements,preferences,salary,프리랜서,미정,details,jobwebsite,7.0,https://talliapp.com/image?num_images=47,,1.0,2023.02.04 16:00:00,
